measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,All Ages,Tuberculosis,Rate,2011,18.83943209397491,20.05028959153006,17.739327928696127
Deaths,Global,Both,All Ages,Tuberculosis,Rate,2012,18.42589588121529,19.568660365356944,17.353776350580883
Deaths,Global,Both,All Ages,Tuberculosis,Rate,2013,18.06133971121523,19.28096808271692,17.012508447943805
Deaths,Global,Both,All Ages,Tuberculosis,Rate,2014,17.681633823070463,18.809354531771866,16.644826070917002
Deaths,Global,Both,All Ages,Tuberculosis,Rate,2010,19.54342851891913,20.776797748244835,18.425451146321702
Deaths,Global,Both,All Ages,Tuberculosis,Rate,2015,17.113933577279766,18.326623921175944,16.01833205357863
Deaths,Global,Both,All Ages,Tuberculosis,Rate,2019,15.247451387612648,16.706567551021728,13.939269643188872
Deaths,Global,Both,All Ages,Tuberculosis,Rate,2018,15.74003283054407,17.186935972151854,14.444456709325591
Deaths,Global,Both,All Ages,Tuberculosis,Rate,2017,16.26062482403879,17.606819204576556,14.942759499781356
Deaths,Global,Both,All Ages,Tuberculosis,Rate,2016,16.679930983263436,17.905018123085704,15.481773139334267
